Food Name,State,Type,Allergic Ingredients,Total Calories,Total Carbs,Total Fats,Total Protein,Total Sugar,Total Sodium,Vitamin Content,Morning,Afternoon,Night
Tuna Fry,Lakshadweep,Non-Veg,Fish,400,10,35.0,35,1,550,"Vitamin D, B12",No,Yes,Yes
Chicken Stew,Lakshadweep,Non-Veg,"Chicken, Coconut",350,20,20.0,28,2,600,"Vitamin B, D",No,Yes,Yes
Squid Roast,Lakshadweep,Non-Veg,Seafood,380,15,25.0,35,2,500,"Vitamin B12, D",No,Yes,Yes
Breadfruit Fry,Lakshadweep,Veg,Breadfruit,180,35,12.0,4,1,100,Vitamin C,No,Yes,Yes
Chilly Fish,Lakshadweep,Non-Veg,"Fish, Spices",450,25,28.0,40,3,650,"Vitamin D, B12",No,Yes,Yes
Kerala Parotta,Lakshadweep,Veg,Gluten,350,50,15.0,8,1,500,Vitamin B,No,Yes,Yes
Coconut Milk Curry,Lakshadweep,Veg,Coconut,300,40,18.0,5,2,300,Vitamin E,No,Yes,Yes
Tapioca with Chutney,Lakshadweep,Veg,Tapioca,250,55,10.0,4,2,150,"Vitamin B, C",No,Yes,Yes
Coconut Halwa,Lakshadweep,Veg,"Coconut, Dairy",350,60,15.0,5,40,250,Vitamin E,No,Yes,Yes
Fish Biryani,Lakshadweep,Non-Veg,"Fish, Gluten",500,55,22.0,35,5,700,"Vitamin D, B12",No,Yes,Yes
Seafood Stew,Lakshadweep,Non-Veg,Seafood,420,20,28.0,35,3,600,"Vitamin B12, D",No,Yes,Yes
Fried Prawns,Lakshadweep,Non-Veg,Shellfish,390,10,32.0,25,2,550,"Vitamin B12, D",No,Yes,Yes
Octopus Curry,Lakshadweep,Non-Veg,Seafood,370,25,20.0,35,2,600,"Vitamin D, B12",No,Yes,Yes
Breadfruit Stew,Lakshadweep,Veg,Breadfruit,260,40,10.0,5,2,200,Vitamin C,No,Yes,Yes
Fish Pickle,Lakshadweep,Non-Veg,Fish,150,10,5.0,15,2,450,Vitamin B12,No,Yes,Yes
Coconut Chutney,Lakshadweep,Veg,Coconut,100,5,8.0,1,2,150,Vitamin E,No,Yes,Yes
Mutton Curry,Lakshadweep,Non-Veg,Mutton,550,20,35.0,45,2,700,Vitamin B12,No,Yes,Yes
Sweet Coconut Rice,Lakshadweep,Veg,Coconut,320,50,15.0,6,35,200,"Vitamin B, E",No,Yes,Yes
Banana Pudding,Lakshadweep,Veg,"Banana, Dairy",250,45,12.0,5,20,100,"Vitamin B, C",No,Yes,Yes
Clam Fry,Lakshadweep,Non-Veg,Shellfish,420,10,35.0,30,1,500,"Vitamin B12, D",No,Yes,Yes
Tapioca and Prawn Curry,Lakshadweep,Non-Veg,"Shellfish, Tapioca",450,50,20.0,35,6,450,"Vitamin B12, D",No,Yes,Yes
Egg Curry,Lakshadweep,Non-Veg,Eggs,350,20,25.0,20,2,500,"Vitamin D, B12",No,Yes,Yes
Squid Fry,Lakshadweep,Non-Veg,Seafood,400,10,30.0,35,1,600,"Vitamin B12, D",No,Yes,Yes
Breadfruit Pakora,Lakshadweep,Veg,"Breadfruit, Gluten",220,40,12.0,4,2,150,Vitamin C,No,Yes,Yes
Prawn Roast,Lakshadweep,Non-Veg,Shellfish,390,15,30.0,25,2,500,"Vitamin B12, D",No,Yes,Yes
Chicken Fry,Lakshadweep,Non-Veg,Chicken,450,10,35.0,30,1,700,Vitamin B,No,Yes,Yes
Fish Soup,Lakshadweep,Non-Veg,Fish,200,10,10.0,20,1,300,"Vitamin D, B12",No,Yes,Yes
Breadfruit Soup,Lakshadweep,Veg,Breadfruit,180,30,8.0,3,1,100,Vitamin C,No,Yes,Yes
Coconut Banana Smoothie,Lakshadweep,Vegan,"Coconut, Banana",200,40,10.0,2,25,150,"Vitamin B, C",No,Yes,Yes
Fish Curry with Rice,Lakshadweep,Non-Veg,Fish,500,60,20.0,30,5,750,"Vitamin B, D",No,Yes,Yes
Tuna Fish Stew,Lakshadweep,Non-Veg,"Fish, Coconut",400,25,22.0,30,3,550,"Vitamin B, D",No,Yes,Yes
Crab Roast,Lakshadweep,Non-Veg,Shellfish,480,20,30.0,40,2,600,"Vitamin B12, D",No,Yes,Yes
Thukpa,Ladakh,Non-Veg,Gluten,320,50,6.0,15,3,700,"Vitamin A, Vitamin B",No,Yes,Yes
Skyu,Ladakh,Veg,Gluten,250,45,5.0,8,2,650,"Vitamin C, Vitamin B",No,Yes,Yes
Chhurpi Soup,Ladakh,Veg,Dairy,210,30,7.0,10,3,500,"Vitamin A, Vitamin D",No,Yes,Yes
Momos,Ladakh,Non-Veg,Gluten,290,35,9.0,12,1,600,"Vitamin C, Vitamin B",No,Yes,Yes
Chhang (Barley Beer),Ladakh,Vegan,Gluten,180,20,0.0,1,5,200,Vitamin B,No,Yes,Yes
Tingmo,Ladakh,Veg,Gluten,190,35,3.0,6,0,450,"Vitamin B, Vitamin C",No,Yes,Yes
Khambir,Ladakh,Vegan,Gluten,250,40,6.0,7,2,550,Vitamin B,No,Yes,Yes
Paba,Ladakh,Vegan,Gluten,220,35,4.0,8,1,400,"Vitamin B, Vitamin E",No,Yes,Yes
Butter Tea,Ladakh,Veg,Dairy,150,5,12.0,2,0,300,"Vitamin A, Vitamin D",No,Yes,Yes
Thenthuk,Ladakh,Non-Veg,Gluten,310,50,7.0,13,2,700,"Vitamin A, Vitamin C",No,Yes,Yes
Chhutagi,Ladakh,Non-Veg,Gluten,280,45,5.0,10,3,650,"Vitamin A, Vitamin B",No,Yes,Yes
Phirni,Ladakh,Veg,"Dairy, Nuts",210,35,4.0,6,10,300,"Vitamin A, Vitamin C",No,Yes,Yes
Rgi Tsos,Ladakh,Vegan,None,260,40,6.0,9,1,500,Vitamin C,No,Yes,Yes
Tapu,Ladakh,Vegan,Gluten,200,35,3.0,7,1,450,"Vitamin B, Vitamin E",No,Yes,Yes
Gur Gur Cha,Ladakh,Veg,Dairy,130,4,10.0,1,0,250,"Vitamin A, Vitamin D",No,Yes,Yes
Zan,Ladakh,Vegan,Gluten,240,35,5.0,7,2,500,"Vitamin B, Vitamin C",No,Yes,Yes
Yak Meat Stew,Ladakh,Non-Veg,None,350,25,20.0,25,1,800,"Vitamin B, Vitamin D",No,Yes,Yes
Paba with Tangtur,Ladakh,Vegan,Gluten,280,40,5.0,10,2,400,"Vitamin B, Vitamin C",No,Yes,Yes
Kholak,Ladakh,Vegan,Gluten,230,30,5.0,8,2,450,"Vitamin B, Vitamin E",No,Yes,Yes
Chhaang Paa,Ladakh,Vegan,Gluten,210,20,3.0,5,4,300,Vitamin B,No,Yes,Yes
Tsampa,Ladakh,Vegan,Gluten,220,35,4.0,7,1,400,"Vitamin B, Vitamin E",No,Yes,Yes
Shapta,Ladakh,Non-Veg,Gluten,360,40,12.0,18,3,750,"Vitamin A, Vitamin B",No,Yes,Yes
Keu,Ladakh,Vegan,Gluten,240,35,6.0,9,2,450,"Vitamin C, Vitamin B",No,Yes,Yes
Tagi Khambir,Ladakh,Vegan,Gluten,270,45,5.0,6,2,550,Vitamin B,No,Yes,Yes
Gyathuk,Ladakh,Non-Veg,Gluten,320,50,7.0,15,3,700,"Vitamin A, Vitamin B",No,Yes,Yes
Chhurpey,Ladakh,Veg,Dairy,210,30,7.0,10,2,500,"Vitamin D, Vitamin A",No,Yes,Yes
Chilagi,Ladakh,Non-Veg,None,290,40,9.0,13,2,650,"Vitamin A, Vitamin B",Yes,No,No
Ladakhi Pulao,Ladakh,Veg,Gluten,280,55,7.0,8,2,600,"Vitamin B, Vitamin C",No,Yes,Yes
Chhutkur,Ladakh,Veg,Dairy,220,35,6.0,7,1,500,Vitamin D,No,Yes,Yes
Mokthuk,Ladakh,Non-Veg,Gluten,310,45,7.0,13,2,600,Vitamin C,No,Yes,Yes
Apricot Jam,Ladakh,Vegan,None,150,35,0.0,0,25,50,"Vitamin C, Vitamin A",No,Yes,Yes
Ladakhi Green Tea,Ladakh,Vegan,None,2,0,0.0,0,0,5,Vitamin C,No,Yes,Yes
Yarkhandi Pulao,Ladakh,Non-Veg,None,380,50,15.0,20,3,700,"Vitamin B, Vitamin C",No,Yes,Yes
Sheer Yakhni,Ladakh,Non-Veg,Dairy,340,30,20.0,15,2,800,"Vitamin D, Vitamin A",No,Yes,Yes
Chilak,Ladakh,Veg,Gluten,220,35,6.0,8,2,500,Vitamin B,Yes,No,No
Ngampe,Ladakh,Vegan,Gluten,200,40,3.0,7,1,400,Vitamin B,No,Yes,Yes
Khur-le,Ladakh,Vegan,Gluten,250,35,4.0,8,2,450,Vitamin B,No,Yes,Yes
Gorduk,Ladakh,Non-Veg,None,360,50,15.0,20,3,800,"Vitamin B, Vitamin D",No,Yes,Yes
Ladakhi Barley Cake,Ladakh,Vegan,Gluten,230,40,4.0,7,3,400,Vitamin B,No,Yes,Yes
Yak Butter Tea,Ladakh,Veg,Dairy,140,5,12.0,2,0,300,"Vitamin A, Vitamin D",No,Yes,Yes
Changthangi Tea,Ladakh,Veg,Dairy,120,4,8.0,1,0,250,"Vitamin A, Vitamin D",No,Yes,Yes
Ba Phing,Ladakh,Vegan,Gluten,190,30,3.0,6,1,400,Vitamin B,No,Yes,Yes
Ladakhi Dumplings,Ladakh,Non-Veg,Gluten,280,35,9.0,12,2,600,"Vitamin A, Vitamin B",No,Yes,Yes
Yarkhandi Soup,Ladakh,Non-Veg,None,330,45,10.0,15,3,750,"Vitamin C, Vitamin B",No,Yes,Yes
Buckwheat Bread,Ladakh,Vegan,Gluten,240,45,3.0,8,2,450,Vitamin B,No,Yes,Yes
Dre-thuk,Ladakh,Non-Veg,Gluten,300,50,6.0,14,2,600,Vitamin C,No,Yes,Yes
Kashur,Ladakh,Vegan,None,250,40,5.0,7,2,500,Vitamin B,No,Yes,Yes
Bak-tso,Ladakh,Non-Veg,None,350,45,12.0,17,2,800,"Vitamin B, Vitamin D",No,Yes,Yes
Sey Thukpa,Ladakh,Non-Veg,Gluten,310,50,7.0,13,2,700,"Vitamin A, Vitamin B",No,Yes,Yes
Tse-lachang,Ladakh,Vegan,Gluten,230,40,5.0,7,1,400,"Vitamin B, Vitamin C",No,Yes,Yes
Grain Soup,Ladakh,Vegan,Gluten,200,35,3.0,6,1,300,"Vitamin B, Vitamin C",No,Yes,Yes
Himalayan Barley Pancake,Ladakh,Vegan,Gluten,240,45,4.0,7,2,450,Vitamin B,No,Yes,Yes
Ladakhi Spinach Soup,Ladakh,Vegan,None,190,25,3.0,6,2,400,"Vitamin C, Vitamin A",No,Yes,Yes
Butter Barley Soup,Ladakh,Veg,"Dairy, Gluten",220,30,10.0,8,1,550,"Vitamin A, Vitamin B",No,Yes,Yes
Yak Cheese,Ladakh,Veg,Dairy,250,0,20.0,12,0,400,"Vitamin D, Vitamin A",No,Yes,Yes
Ladakhi Lamb Stew,Ladakh,Non-Veg,None,340,40,15.0,20,3,750,"Vitamin A, Vitamin B",No,Yes,Yes
Roasted Barley Flour,Ladakh,Vegan,Gluten,230,40,3.0,8,2,400,Vitamin B,No,Yes,Yes
Shakhtu,Ladakh,Non-Veg,None,330,45,10.0,16,3,700,"Vitamin A, Vitamin B",No,Yes,Yes
Spinach and Buckwheat Salad,Ladakh,Vegan,None,180,20,2.0,5,2,150,"Vitamin C, Vitamin A",No,Yes,Yes
Ladakhi Stir Fry,Ladakh,Vegan,None,200,30,4.0,7,1,350,Vitamin C,No,Yes,Yes
Barley Wine,Ladakh,Vegan,Gluten,180,20,0.0,1,5,200,Vitamin B,No,Yes,Yes
Grilled Yak Meat,Ladakh,Non-Veg,None,370,15,25.0,30,0,800,"Vitamin B, Vitamin D",No,Yes,Yes
Steamed Yak Dumplings,Ladakh,Non-Veg,Gluten,300,35,10.0,15,1,600,"Vitamin A, Vitamin B",No,Yes,Yes
Fermented Turnip,Ladakh,Vegan,None,170,25,3.0,5,1,250,Vitamin C,No,Yes,Yes
Ladakhi Radish Soup,Ladakh,Vegan,None,180,20,3.0,6,2,200,"Vitamin C, Vitamin A",No,Yes,Yes
Yak Jerky,Ladakh,Non-Veg,None,260,5,20.0,30,1,600,Vitamin B,No,Yes,Yes
Barley Millet Cake,Ladakh,Vegan,Gluten,230,40,4.0,7,2,400,Vitamin B,No,Yes,Yes
Spinach Barley Porridge,Ladakh,Vegan,None,190,35,2.0,6,1,300,"Vitamin A, Vitamin C",No,Yes,Yes
Boiled Barley,Ladakh,Vegan,Gluten,200,40,2.0,6,1,350,Vitamin B,No,Yes,Yes
Yak Butter,Ladakh,Veg,Dairy,220,0,20.0,2,0,200,"Vitamin D, Vitamin A",No,Yes,Yes
Ladakhi Garlic Soup,Ladakh,Vegan,None,170,20,3.0,6,2,150,Vitamin C,No,Yes,Yes
Yarkhandi Spiced Rice,Ladakh,Non-Veg,None,320,50,10.0,15,2,600,Vitamin B,No,Yes,Yes
Apricot Nut Pudding,Ladakh,Veg,"Nuts, Dairy",210,35,8.0,5,15,400,"Vitamin C, Vitamin A",No,Yes,Yes
Goat Cheese,Ladakh,Veg,Dairy,240,0,20.0,14,0,350,"Vitamin D, Vitamin A",No,Yes,Yes
Sour Yogurt,Ladakh,Veg,Dairy,150,12,5.0,8,8,250,"Vitamin D, Vitamin A",No,Yes,Yes
Ladakhi Barley Gruel,Ladakh,Vegan,Gluten,230,40,3.0,7,1,400,Vitamin B,No,Yes,Yes
Apricot Laddu,Ladakh,Vegan,Nuts,240,35,10.0,4,15,450,"Vitamin C, Vitamin A",No,Yes,Yes
Yak Milk,Ladakh,Veg,Dairy,190,12,10.0,8,12,250,"Vitamin D, Vitamin A",No,Yes,Yes
Barley Pilaf,Ladakh,Vegan,Gluten,220,45,4.0,6,1,400,Vitamin B,No,Yes,Yes
Steamed Buckwheat Bread,Ladakh,Vegan,Gluten,230,45,3.0,8,2,400,Vitamin B,No,Yes,Yes
Appam,Kerala,Veg,Gluten,250,40,5.0,6,2,200,"Vitamin B1, B2",Yes,No,No
Puttu,Kerala,Veg,Gluten,150,30,1.0,4,1,120,Vitamin B1,No,Yes,Yes
Idiyappam,Kerala,Veg,Gluten,200,35,2.0,5,1,150,Vitamin B1,Yes,No,No
Dosa,Kerala,Veg,Gluten,250,45,8.0,6,2,250,Vitamin B1,Yes,No,Yes
Sambar,Kerala,Veg,None,180,20,8.0,7,5,300,Vitamin C,No,Yes,Yes
Avial,Kerala,Veg,None,220,25,10.0,8,3,180,"Vitamin A, C",No,Yes,Yes
Thoran,Kerala,Veg,None,180,15,9.0,6,4,250,"Vitamin A, C",No,Yes,Yes
Meen Curry,Kerala,Non-Veg,None,350,10,25.0,28,4,600,"Vitamin B12, D",No,Yes,Yes
Fish Fry,Kerala,Non-Veg,None,400,8,30.0,25,3,800,"Vitamin B12, D",No,Yes,Yes
Kappa,Kerala,Veg,None,300,70,2.0,4,1,150,Vitamin C,No,Yes,Yes
Kadala Curry,Kerala,Veg,None,280,35,8.0,15,4,200,"Vitamin B1, C",No,Yes,Yes
Nadan Chicken Curry,Kerala,Non-Veg,None,500,10,40.0,35,5,700,"Vitamin B12, C",No,Yes,Yes
Kaalan,Kerala,Veg,Dairy,250,20,12.0,8,5,180,"Vitamin A, C",No,Yes,Yes
Pulissery,Kerala,Veg,Dairy,220,15,10.0,7,6,200,"Vitamin A, C",No,Yes,Yes
Chemeen Curry,Kerala,Non-Veg,None,400,12,25.0,30,4,600,"Vitamin B12, D",No,Yes,Yes
Kerala Beef Curry,Kerala,Non-Veg,None,550,10,45.0,30,3,750,Vitamin B12,No,Yes,Yes
Vegetable Korma,Kerala,Veg,Dairy,300,25,15.0,10,5,220,"Vitamin A, C",No,Yes,Yes
Banana Chips,Kerala,Veg,None,350,50,18.0,2,5,300,Vitamin C,No,Yes,Yes
Parippu Curry,Kerala,Veg,None,220,30,8.0,12,2,180,"Vitamin B1, C",No,Yes,Yes
Fish Molee,Kerala,Non-Veg,Dairy,400,15,25.0,28,5,650,"Vitamin B12, D",No,Yes,Yes
Chicken Roast,Kerala,Non-Veg,None,450,10,30.0,40,3,750,Vitamin B12,No,Yes,Yes
Vegetable Stew,Kerala,Veg,Dairy,200,20,10.0,8,4,150,"Vitamin A, C",No,Yes,Yes
Sambharam,Kerala,Veg,Dairy,100,5,2.0,1,2,80,Vitamin C,No,Yes,Yes
Kichadi,Kerala,Veg,Dairy,210,15,12.0,8,3,190,"Vitamin A, C",No,Yes,Yes
Olan,Kerala,Veg,Dairy,190,20,8.0,7,2,150,"Vitamin A, C",No,Yes,Yes
Kuttanadan Duck Curry,Kerala,Non-Veg,None,500,12,40.0,35,4,700,"Vitamin B12, D",No,Yes,Yes
Chettinad Chicken,Kerala,Non-Veg,None,450,10,35.0,40,3,650,Vitamin B12,No,Yes,Yes
Keralan Pork Curry,Kerala,Non-Veg,None,550,15,45.0,40,5,800,Vitamin B12,No,Yes,Yes
Rasam,Kerala,Veg,None,150,10,5.0,3,2,200,Vitamin C,No,Yes,Yes
Kozhukatta,Kerala,Veg,Dairy,280,35,12.0,10,8,220,"Vitamin A, C",No,Yes,Yes
Prawn Masala,Kerala,Non-Veg,None,400,10,30.0,25,4,600,Vitamin B12,No,Yes,Yes
Pachadi,Kerala,Veg,Dairy,180,15,10.0,5,3,150,"Vitamin A, C",No,Yes,Yes
Chakka Varatti,Kerala,Veg,None,300,45,8.0,40,20,250,Vitamin C,No,Yes,Yes
Fried Tapioca,Kerala,Veg,None,350,70,10.0,5,10,300,Vitamin C,No,Yes,Yes
Vegetable Biriyani,Kerala,Veg,None,350,50,12.0,10,8,250,"Vitamin B1, C",No,Yes,Yes
Chicken Biryani,Kerala,Non-Veg,None,500,60,20.0,35,10,700,Vitamin B12,No,Yes,Yes
Mutton Curry,Kerala,Non-Veg,None,600,15,40.0,35,5,800,Vitamin B12,No,Yes,Yes
Coconut Rice,Kerala,Veg,None,300,50,15.0,5,4,250,Vitamin B1,No,Yes,Yes
Kothu Parotta,Kerala,Non-Veg,None,500,60,25.0,20,6,700,"Vitamin B1, C",No,Yes,Yes
Lemon Rice,Kerala,Veg,None,280,50,10.0,5,3,200,Vitamin C,No,Yes,Yes
Mango Pickle,Kerala,Veg,None,150,20,5.0,5,10,500,Vitamin C,No,Yes,Yes
Puttu and Kadala Curry,Kerala,Veg,None,400,65,8.0,12,5,300,"Vitamin B1, C",No,Yes,Yes
Appam with Stew,Kerala,Veg,Dairy,350,60,10.0,12,6,350,"Vitamin A, C",Yes,No,No
Neyyappam,Kerala,Veg,Dairy,320,40,18.0,10,8,250,Vitamin A,Yes,No,No
Prawn Curry,Kerala,Non-Veg,None,400,12,30.0,25,4,650,Vitamin B12,No,Yes,Yes
Vada,Kerala,Veg,None,350,45,20.0,5,3,400,Vitamin B1,Yes,No,No
Mutton Korma,Kerala,Non-Veg,Dairy,500,20,35.0,30,4,700,Vitamin B12,No,Yes,Yes
Chappathi,Kerala,Veg,Gluten,250,45,6.0,6,2,200,Vitamin B1,No,Yes,Yes
Prawn Masala,Kerala,Non-Veg,None,350,15,20.0,30,5,500,Vitamin B12,No,Yes,Yes
Fish Cutlet,Kerala,Non-Veg,None,300,20,18.0,22,3,600,Vitamin B12,No,Yes,Yes
Sadhya,Kerala,Veg,None,600,80,20.0,25,15,400,"Vitamin A, C",No,Yes,Yes
Vegetable Salad,Kerala,Veg,None,120,15,3.0,2,2,100,"Vitamin A, C",No,Yes,Yes
Ghee Rice,Kerala,Veg,Dairy,300,50,15.0,7,4,250,Vitamin A,No,Yes,Yes
Chicken Stew,Kerala,Non-Veg,Dairy,400,20,25.0,35,6,600,Vitamin B12,No,Yes,Yes
Parotta,Kerala,Veg,Gluten,300,55,12.0,8,4,250,Vitamin B1,No,Yes,Yes
Prawn Roast,Kerala,Non-Veg,None,350,12,25.0,30,5,550,Vitamin B12,No,Yes,Yes
Vegetable Uthappam,Kerala,Veg,Gluten,250,50,10.0,8,4,300,Vitamin B1,Yes,No,No
Mutton Biryani,Kerala,Non-Veg,None,550,60,25.0,35,8,800,Vitamin B12,No,Yes,Yes
Fish Fry,Kerala,Non-Veg,None,400,10,30.0,25,3,800,Vitamin B12,No,Yes,Yes
Dosa with Sambar,Kerala,Veg,Gluten,350,50,10.0,8,5,300,Vitamin B1,Yes,No,Yes
Mango Curry,Kerala,Veg,None,200,25,8.0,6,4,250,Vitamin C,No,Yes,Yes
Coconut Chutney,Kerala,Veg,Dairy,150,10,12.0,2,3,200,Vitamin C,No,Yes,Yes
Pulao,Kerala,Veg,None,300,55,10.0,6,5,250,Vitamin B1,No,Yes,Yes
Pulav,Kerala,Veg,None,350,60,12.0,7,4,300,Vitamin B1,No,Yes,Yes
Kozhikode Biryani,Kerala,Non-Veg,None,500,65,20.0,30,8,750,Vitamin B12,No,Yes,Yes
Vegetable Pulao,Kerala,Veg,None,300,55,12.0,8,5,250,Vitamin B1,No,Yes,Yes
Rava Dosa,Kerala,Veg,Gluten,250,40,10.0,5,3,200,Vitamin B1,Yes,No,Yes
Idiyappam with Stew,Kerala,Veg,Dairy,300,35,8.0,7,4,250,"Vitamin B1, C",Yes,No,No
Palada Payasam,Kerala,Veg,Dairy,300,50,10.0,20,30,200,Vitamin A,No,Yes,Yes
Beef Fry,Kerala,Non-Veg,None,400,10,35.0,30,3,650,Vitamin B12,No,Yes,Yes
Fish Curry with Coconut Milk,Kerala,Non-Veg,Dairy,350,15,25.0,20,5,600,Vitamin B12,No,Yes,Yes
Vegetable Kootu,Kerala,Veg,Dairy,200,25,12.0,6,5,150,"Vitamin A, C",No,Yes,Yes
Vermicelli Payasam,Kerala,Veg,Dairy,300,60,12.0,20,25,200,Vitamin A,No,Yes,Yes
Rava Kesari,Kerala,Veg,Dairy,350,55,10.0,25,15,300,Vitamin A,No,Yes,Yes
Egg Curry,Kerala,Non-Veg,Dairy,350,15,20.0,20,6,500,Vitamin B12,No,Yes,Yes
Parippu,Kerala,Veg,None,200,30,10.0,8,2,150,"Vitamin B1, C",No,Yes,Yes
Kappa and Fish Curry,Kerala,Non-Veg,None,400,70,15.0,20,5,650,Vitamin B12,No,Yes,Yes
Cheera Thoran,Kerala,Veg,None,180,15,8.0,5,3,150,"Vitamin A, C",No,Yes,Yes
Coconut Milk Stew,Kerala,Veg,Dairy,200,10,8.0,4,3,180,"Vitamin A, C",No,Yes,Yes
Prawn Salad,Kerala,Non-Veg,None,250,10,15.0,20,4,300,Vitamin B12,No,Yes,Yes
Chicken Vindaloo,Kerala,Non-Veg,None,500,15,30.0,35,6,700,Vitamin B12,No,Yes,Yes
Vegetable Curry,Kerala,Veg,None,220,25,10.0,8,3,180,"Vitamin A, C",No,Yes,Yes
Tapioca and Fish Curry,Kerala,Non-Veg,None,400,70,15.0,20,5,650,Vitamin B12,No,Yes,Yes
Pulao with Raita,Kerala,Veg,Dairy,350,60,12.0,10,4,300,Vitamin B1,No,Yes,Yes
Chicken Cutlet,Kerala,Non-Veg,None,300,15,20.0,25,5,500,Vitamin B12,No,Yes,Yes
Mutton Shami Kebab,Kerala,Non-Veg,None,400,10,25.0,30,4,600,Vitamin B12,No,Yes,Yes
Fish in Tamarind Sauce,Kerala,Non-Veg,None,350,15,20.0,25,6,550,Vitamin B12,No,Yes,Yes
Vegetable Sambar,Kerala,Veg,None,180,25,8.0,7,4,200,"Vitamin A, C",No,Yes,Yes
Mutton Rogan Josh,Kerala,Non-Veg,None,500,15,35.0,40,6,750,Vitamin B12,No,Yes,Yes
Nendran Banana Chips,Kerala,Veg,None,350,50,18.0,2,5,300,Vitamin C,No,Yes,Yes
Beef Ularthiyathu,Kerala,Non-Veg,None,500,15,40.0,35,4,750,Vitamin B12,No,Yes,Yes
Kuttu Dosa,Kerala,Veg,Gluten,250,40,8.0,6,3,220,Vitamin B1,Yes,No,Yes
Chicken Kurma,Kerala,Non-Veg,Dairy,400,20,25.0,30,6,600,Vitamin B12,No,Yes,Yes
Mango Lassi,Kerala,Veg,Dairy,250,35,8.0,6,12,150,Vitamin A,No,Yes,Yes
Fish Curry with Rice,Kerala,Non-Veg,None,500,70,20.0,25,6,700,Vitamin B12,No,Yes,Yes
Vegetable Soup,Kerala,Veg,None,100,10,2.0,3,2,80,"Vitamin A, C",No,Yes,Yes
Chicken Kabab,Kerala,Non-Veg,None,300,10,20.0,25,5,500,Vitamin B12,No,Yes,Yes
Mutton Biryani with Raita,Kerala,Non-Veg,Dairy,550,65,25.0,35,8,750,Vitamin B12,No,Yes,Yes
Vegetable Pakora,Kerala,Veg,None,300,35,15.0,6,3,250,"Vitamin A, C",No,Yes,Yes
Egg Roast,Kerala,Non-Veg,None,300,10,20.0,20,4,400,Vitamin B12,No,Yes,Yes
Prawn Soup,Kerala,Non-Veg,None,150,5,8.0,15,4,250,Vitamin B12,No,Yes,Yes
Vegetable Manchurian,Kerala,Veg,None,250,35,15.0,8,5,300,Vitamin C,No,Yes,Yes
Beef Steak,Kerala,Non-Veg,None,400,5,30.0,25,4,600,Vitamin B12,No,Yes,Yes
Chicken Korma,Kerala,Non-Veg,Dairy,350,20,25.0,20,5,500,Vitamin B12,No,Yes,Yes
Mutton Nihari,Kerala,Non-Veg,None,500,20,35.0,30,6,700,Vitamin B12,No,Yes,Yes
Fish Biriyani,Kerala,Non-Veg,None,500,60,20.0,25,8,750,Vitamin B12,No,Yes,Yes
Vegetable Pappu,Kerala,Veg,None,250,30,10.0,8,3,180,"Vitamin A, C",No,Yes,Yes
Pulao with Vegetables,Kerala,Veg,None,300,50,12.0,8,4,250,Vitamin B1,No,Yes,Yes
Mutton Curry with Rice,Kerala,Non-Veg,None,550,60,25.0,30,8,750,Vitamin B12,No,Yes,Yes
Chicken Pasta,Kerala,Non-Veg,Dairy,400,55,20.0,15,6,500,Vitamin B12,No,Yes,Yes
Kachori,Kerala,Veg,Gluten,250,30,12.0,6,4,200,Vitamin B1,Yes,No,No
Beef Cutlet,Kerala,Non-Veg,None,300,15,20.0,25,5,500,Vitamin B12,No,Yes,Yes
Vegetable Biryani,Kerala,Veg,None,350,55,12.0,10,5,250,Vitamin B1,No,Yes,Yes
Tapioca with Coconut,Kerala,Veg,None,350,70,10.0,5,5,300,Vitamin C,No,Yes,Yes
Beef Kabab,Kerala,Non-Veg,None,350,10,25.0,20,5,600,Vitamin B12,No,Yes,Yes
Chickpea Salad,Kerala,Veg,None,180,20,5.0,7,2,150,"Vitamin A, C",No,Yes,Yes
Chicken Masala,Kerala,Non-Veg,None,400,15,25.0,30,6,600,Vitamin B12,No,Yes,Yes
Vegetable Khichdi,Kerala,Veg,None,250,50,10.0,8,5,200,Vitamin B1,No,Yes,Yes
Fish Tikka,Kerala,Non-Veg,None,300,10,20.0,25,4,500,Vitamin B12,No,Yes,Yes
Egg Bhurji,Kerala,Non-Veg,None,300,10,20.0,20,3,400,Vitamin B12,No,Yes,Yes
Chicken Shawarma,Kerala,Non-Veg,None,400,30,20.0,15,5,600,Vitamin B12,No,Yes,Yes
Paneer Tikka,Kerala,Veg,Dairy,250,10,18.0,15,5,300,"Vitamin A, C",No,Yes,Yes
Chole Bhature,Kerala,Veg,Gluten,500,60,20.0,15,6,350,Vitamin B1,No,Yes,Yes
Ghee Roast,Kerala,Veg,Dairy,300,50,20.0,10,6,300,Vitamin A,No,Yes,Yes
Beef Soup,Kerala,Non-Veg,None,150,10,8.0,12,2,250,Vitamin B12,No,Yes,Yes
Vegetable Upma,Kerala,Veg,Gluten,200,30,8.0,6,4,200,Vitamin B1,Yes,No,No
Keralan Prawn Curry,Kerala,Non-Veg,None,400,15,25.0,30,5,600,Vitamin B12,No,Yes,Yes
Mutton Seekh Kebab,Kerala,Non-Veg,None,400,15,30.0,25,5,600,Vitamin B12,No,Yes,Yes
Egg Curry with Rice,Kerala,Non-Veg,Dairy,400,20,25.0,20,5,500,Vitamin B12,No,Yes,Yes
